Johnathan Abram,71,205,0
Paul Adams,78,317,16
Nasir Adderley,72,206,0
Azeez Al-Shaair,73,234,16
Otaro Alaka,75,239,20
Dakota Allen,73,232,23
Josh Allen,77,262,28
Zach Allen,76,281,24
Bryson Allen-Williams,73,236,14
Jeff Allison,71,228,12
Ugo Amadi,69,199,18
Rodney Anderson,72,224,25
J.J. Arcega-Whiteside,74,225,0
Ryquell Armstead,71,220,22
Blessuan Austin,73,198,15
Jake Bailey,73,200,0
Zack Bailey,77,299,24
Derrick Baity,74,197,10
Deandre Baker,71,193,14
Corey Ballentine,71,196,15
Ben Banogu,75,250,23
Alex Barnes,72,226,34
Alex Bars,78,312,0
Cody Barton,74,237,30
Jackson Barton,79,310,25
Ryan Bates,76,306,28
John Battle,72,201,0
Terry Beckner,76,296,28
Mike Bell,75,210,10
Beau Benzschawel,78,309,20
Marquise Blair,73,195,0
Kendall Blanton,78,262,22
Nick Bosa,76,266,29
Kris Boyd,71,201,19
Miles Boykin,76,220,12
Garrett Bradbury,75,306,34
Tyre Brady,75,211,12
Jordan Brailford,75,252,22
Nick Brossette,71,209,15
A.J. Brown,72,226,19
Blace Brown,72,194,14
Jordan Brown,72,201,13
Keenen Brown,74,250,17
Marquise Brown,69,166,0
Jake Browning,74,211,0
Austin Bryant,76,271,0
Isaiah Buggs,75,306,20
Sean Bunting,72,195,14
Brian Burns,77,249,0
Ben Burr-Kirven,72,230,21
Devin Bush,71,234,21
Emmanuel Butler,75,217,11
Hakeem Butler,77,227,18
Yodny Cajuste,77,312,32
Shaq Calhoun,74,310,26
Parris Campbell,72,205,11
Malik Carney,74,251,25
Blake Cashman,73,237,18
Hamp Cheevers,69,169,8
Demarcus Christmas,75,294,22
L.J. Collier,74,283,25
John Cominsky,77,286,22
Te'Von Coney,73,234,0
Ryan Connelly,74,242,0
C.J. Conrad,76,249,0
Byron Cowart,75,298,26
Jonathan Crawford,73,205,16
Xavier Crawford,71,187,11
Maxx Crosby,77,255,0
Jamal Custis,76,214,0
Dennis Daley,77,317,20
Davante Davis,74,202,14
Deshaun Davis,71,234,25
Felton Davis,75,211,21
Jamal Davis,75,243,19
Nate Davis,75,316,23
Ryan Davis,70,189,12
Jamel Dean,73,206,16
Michael Deiter,77,309,21
Lukas Denis,71,190,16
Andre Dillard,77,315,24
D'Cota Dixon,70,204,20
Johnnie Dixon,70,201,16
Tyrel Dodson,72,237,24
Greg Dortch,67,173,0
Keelan Doss,74,211,8
Ashton Dulin,73,215,13
Jovon Durante,71,160,0
Chuma Edoga,75,308,21
David Edwards,78,308,0
Mike Edwards,70,205,0
T.J. Edwards,72,230,16
